UserName,Star,Comments
datnq95,5,"Chất lượng sản phẩm:cung ngon
Tính năng nổi bật:tam tam

Khas là ôk nuôn nà chi mức tạm tạm"
lovelycat24,5,"Chất lượng sản phẩm:tốt

Đúng như hình, độ cao vừa phải đúng ý mình, để vừa bàn phím, đẹp, gọn, có thể tháo ra tháo vào"
m*****6,5,"Chất lượng sản phẩm:tạm ổn

Gỗ ép. Chắc chắn. So với 64k thì chất lượng tạm.
Bạn nào mua về thì lấy búa nhỏ đóng vào 2 đầu cho nhanh, lỗ khá nhỏ nếu ko dùng búa ko cho vào được."
a*****8,5,"Chất lượng sản phẩm:ổn
Tính năng nổi bật:đựng laptop

Để laptop khá ổn nhưng để khối bê tông lên là vỡ nhà mọi người rì con men mọi người nên muaaa nhaaaaaaaaaaaa ship nhanh nha mọi người"
x*****o,5,"Chất lượng sản phẩm:Tốt
Tính năng nổi bật:Giá đỡ rất chắc chắn

Giá đỡ rất chắc chắn, giá hạt dẻ, có thể tháo lắp dễ dàng, tiện cho mn mang đi lm đi học"
namchung101,5,Thật sự là hàng về lâu lắm luôn nhưng cũng thông cảm vì hàng nước ngoài . Còn sp thì ok nha 🥰🥰
nami_2021,5,"Chất lượng sản phẩm:Giá đựng laptop bằng gỗ

Shop giao hàng nhanh, shipper thân thiện. Đóng gói tốt và đầy đủ hàng. Đặc biệt dễ lắp và gỗ rất nhẹ. Thanh nối với 2 mảnh lớn rất khớp với lỗ nên  lắp ráp dễ dàng. Tặng shop 10 sao luôn. Mình cám ơn shop."
p*****8,5,"Chất lượng sản phẩm:tốt
Tính năng nổi bật:để máy tính

hàng giao nhanh, thanh gỗ về lắp hơi to nên mình phải gọt đi ít"
tuannghia8577,5,"Chất lượng sản phẩm:tốt
Tính năng nổi bật:nhẹ

hàng đẹp gọn chắc chắn , bền , giao hàng lẹ , gỗ mới, vừa với máy tính"
t*****0,5,"Đóng gói cẩn thận chắc chắn giao hàng hơi lâu kệ để laptop cứng cáp ,đẹp,rẻ Rất tiện ích giúp tản nhiệt.Mọi người nên mua"
daannhh,5,"Chất lượng sản phẩm:tốt
Tính năng nổi bật:đỡ được laptop

Hàng như trên hình, đẹp, khá chắc chắn👍. Để dựng máy tính lên cũng gọn. Lap mình là 15.6"
honganhokki,5,"Chất lượng sản phẩm:tốt
Tính năng nổi bật:để laptop

Đóng gói 10 điểm luôn mở ra ưng liền, mà lắp không được nên ib hỏi shop và shop cũng chỉ rất tận tình nên ai không biết lắp nên hỏi trước khi đánh giá nha, chỉ cái lắp được liền ằ"
huyen_qt,5,"Hơi cao nha, nói chung lúc đầu kê tay ở máy quen r nên hơi khó chịu, nhưng dần cũng quen"
b*****9,5,"Chất lượng sản phẩm:tốt

kệ giao nhanh chắc chắn lắp dễ để mtinh lên dùng khá oke nch nên mua nha mng rẻ mà chất lượng lắm ý"
t*****1,5,"Tính năng nổi bật:đỡ nóng máy
Chất lượng sản phẩm:đẹp

Giao cx nhanh 
Đẹp vs kê máy khá cao 
Đỡ nóng máy
🥰🥰🥰🥰"
trankhanh1712113,5,"Chất lượng sản phẩm:đẹp, nhẹ nhàng, dễ sử dụng, khả năng bề bỉ, dùng khá là ok nha mn"
l*****o,5,"Chất lượng sản phẩm:tot

shop gói hàng cẩn thận, tuy nhiên lỗ khoét 2 thanh bên hơi nhỏ so với thanh bắt ngang nên lắp phải dùng sức tí. chất lượng ok"
n*****9,5,"Chất lượng sản phẩm:tuy là gỗ ván ép nhúng rất tốt
Tính năng nổi bật:kê laptop và tản nhiệt

Đóng gói cẩn thận , láp ráp cái giá đỡ này rất dễ nhưng rất chắc chắn , không có dễ rớt hay bung . Dùng em này mình thấy máy mình khá là đỡ nóng hơn hẳn , có lẽ vậy , mình cũng không chắc . Nhưng sản phẩm rấtt ấu kế , đáng mua:]]"
hienbeard,5,"Danh hiệu cầu thủ xuất sắc lần thứ 5 của Messi tại World Cup năm nay, nhưng lần này ảnh chụp đã khác các lần trước khi có thêm chiếc cup vàng =)))"
july279,5,"Thích hợp để cố định tại chỗ hơn di chuyển, tháo tách rời nên đôi khi hơi lung lay, nhưng đẹp nhé"
nguyenanhminh003,5,"Chất lượng sản phẩm:làm bằng gỗ
Tính năng nổi bật:kê máy tính cho đỡ nóng

Cái thanh gỗ ngang gõ gõ xíu mới lắm vào đc, chắc chắn shop có kèm theo miếng nhám"
anhdaoo6,5,Tốt đẹp nhưng hơi yếu nhưng mà nói chung là nên mua nha các you
jung_mi_young,5,Hàng đẹp lắm luoonn. Nhìn sang dễ sợ mn nên mua để laptop nha:))
n*****7,5,"Đóng gõi kĩ lắm nhma giao hơi lâu , 10 ngày mình mới nhận á . Thanh ngang nó ko vừa cái lỗ nên mình phải gọt bớt . Cũng ổn chứ ko có chê
Hình ảnh mang tính chất nhận xu"
phgnh,5,Kệ cứng cáp. Lap mình 17 inch để chắc chắn ạ. Gói hàng cẩn thận.
phanleanhthu2104,5,"Giao đúng số lượng,sản phẩm siêu xịn,ốp lưng xinh lắm nha.Nói chung vô cùng hài lòng🥰🥰🥰🥰"
susu2k5,5,Hàng rất đẹp đóng gói chắc chắn mọi người nên mua số với giá tiền là ok kê la và rẻ
dangthi27062004,5,Hàng quốc tế nên giao khoảng 2 tuần nhưng mà shop đóng hàng rất kĩ. Gỗ đẹp nên mua nha mn
